Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
79,Total Exploration Production,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,10240,106100,122880,1535480,0,442,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Industry,Geophysics,Infiniband,Infiniband,Western Europe,Europe
80,Lawrence Livermore National Laboratory,Dell,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",United States,2010,15000,105900,168000,1476000,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell Xanadu,Dell Xanadu 3 Cluster,Linux,None,Cluster,Research,Energy,Infiniband,Infiniband QDR,North America,Americas
81,Cyfronet,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.26 Ghz, Infiniband",Poland,2011,11694,104765,124424,0,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
82,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800,145965,1600000,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Lenovo Cluster,Lenovo DeepComp 7000,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
83,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",United States,2009,13552,102200,127200,1651780,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,None,Cluster,Research,Research,Infiniband,Infinband DDR 4x,North America,Americas
84,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741,138956,1740800,0,831.5,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Hitachi Cluster,Hitachi Cluster,Linux,None,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia
85,Kurchatov Institute Moscow,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Russia,2010,10304,101213,123648,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
86,Lawrence Livermore National Laboratory,Appro International,"Appro GreenBlade Cluster Xeon X5660 2.8Ghz, nVIDIA M2050, Infiniband",United States,2010,8240,100500,239866,1414656,0,745,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Appro Cluster,Appro GreenBlade Cluster,Linux,NVIDIA 2050,Cluster,Research,Energy,Infiniband,Infiniband QDR,North America,Americas
87,South Ural State University,Self-made,"SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR",Russia,2011,8832,100400,117000,1042080,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,NOW - Intel,SKIF Aurora Platform,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe
88,Max-Planck-Gesellschaft MPI/IPP,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2009,6848,98423,128742,0,0,1095,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Not Specified,Infiniband,Infiniband,Western Europe,Europe
89,Institute of Physical and Chemical Res. (RIKEN),Fujitsu,"RIKEN Intergrated Cluster of Clusters, Xeon X5570 2.93GHz, Infiniband DDR",Japan,2009,9048,97940,106042,1287936,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu RX200S5 Cluster,RedHat Enterprise 5,None,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia
90,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.26 Ghz, Infiniband",Sweden,2011,17280,97500,156211,1700000,0,0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Government,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
91,DOE/SC/Pacific Northwest National Laboratory,Hewlett-Packard,"Cluster Platform 4000 DL185G5, Opteron QC 2.2 GHz, Infiniband DDR",United States,2008,18176,97071,159949,488000,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,4,HP Cluster Platform 4000,HP Cluster Platform 4000 DL185 G5 Cluster,Linux,None,Cluster,Research,Life Science,Infiniband,Infiniband DDR,North America,Americas
92,Naval Oceanographic Office - NAVO DSRC,Cray Inc.,Cray XT5 QC 2.4 GHz,United States,2011,12720,96550,122112,1652536,0,588.9,AMD x86_64,AMD x86_64 Opteron Quad Core,2400,4,Cray XT,Cray XT5 QuadCore,CNL,None,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
93,EDF R&D,IBM,Blue Gene/P Solution,France,2008,32768,95450,111411,0,0,252,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Industry,Research,Proprietary,Proprietary,Western Europe,Europe
94,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,12288,95080,113050,0,0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,None,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
95,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Germany,2009,10240,94737.1,122880,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Industry,Information Service,Infiniband,Infiniband,Western Europe,Europe
96,Clemson University,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2011,12528,92480,115258,1460200,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Linux,None,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
97,Tsinghua University,Inspur,"Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband",China,2011,9216,92420,107299,1729280,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Inspur Cluster,Inspur TS10000 HPC Server,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
98,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,40960,91290,114688,983039,0,448,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,None,MPP,Research,Information Processing Service,Proprietary,Proprietary,North America,Americas
99,Idaho National Laboratory,Appro International,"Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR",United States,2011,12480,91030,119808,1630720,0,360,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Appro XtremeServer,Appro XtremeServers,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,North America,Americas
100,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,Cray XE6 8-core 2.3 GHz,United States,2010,11648,88920,107162,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2300,8,Cray XE,Cray XE6,Linux,None,MPP,Academic,Not Specified,Custom,Custom,North America,Americas
101,Automotive,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband",United States,2011,8568,88620,100417,0,0,240.41,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Automotive,Infiniband,Infiniband,North America,Americas
102,Automotive,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband",United States,2011,8568,88620,100417,0,0,240.41,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Automotive,Infiniband,Infiniband,North America,Americas
103,Manufacturing Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",France,2009,8576,88550,100511,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Aerospace,Infiniband,Infinband DDR 4x,Western Europe,Europe
104,Financial Services Company (G),Hewlett-Packard,"Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE",United States,2011,20784,87542.8,174586,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 3000,HP DL165 Cluster,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
105,Bull,Bull SA,Bull bullx super-node S6010/S6030,France,2010,11520,87470,104602,1643136,0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010/S6030,Linux,None,Cluster,Vendor,Benchmarking,Infiniband,Infiniband QDR,Western Europe,Europe
106,Commissariat a l'Energie Atomique (CEA),Bull SA,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband",France,2010,11520,87470,104417,1643136,0,0,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,Western Europe,Europe
107,iVEC,Hewlett-Packard,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",Australia,2010,9600,87198.7,107520,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
108,"University of Cologne, Regional Computing Centre",Bull SA,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband",Germany,2010,9376,85900,100171,1446480,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Bull Bullx,Bullx Blade/Supernode,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
109,IBM Thomas J. Watson Research Center,IBM,NNSA/SC Blue Gene/Q Prototype 2,United States,2011,8192,85880,104858,434175,0,40.95,Power,Power BQC,1600,16,IBM BlueGene,BlueGene/Q,Linux,None,MPP,Research,Software,Custom,Custom,North America,Americas
110,Lawrence Livermore National Laboratory,Appro International,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR",United States,2009,13440,83080,107500,1370880,685440,700,AMD x86_64,AMD x86_64 Opteron Quad Core,2000,4,Appro XtremeServer,Appro Xtreme-X3,Linux,None,Cluster,Research,Research,Infiniband,Infiniband DDR,North America,Americas
111,Los Alamos National Laboratory,Appro International,"Appro Xtreme Opteron 2 GHz, Infiniband QDR",United States,2011,13312,83050,106500,873600,436800,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2000,8,Appro XtremeServer,Appro XtremeServers,Linux,None,Cluster,Research,Research,Infiniband,Infiniband QDR,North America,Americas
112,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,eServer Blue Gene Solution,United States,2007,36864,82161,103219,0,0,403.2,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,None,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
113,Maui High-Performance Computing Center (MHPCC),Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband",United States,2009,9210,80580,103219,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,None,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas
114,DLR - CASE,Oracle,"Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR",Germany,2011,7680,79340,91130,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Sun Blade System,Oracle Blade x6275,Linux,None,Cluster,Research,Not Specified,Infiniband,Infiniband QDR,Western Europe,Europe
115,Naval Oceanographic Office - NAVO DSRC,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,5440,78680,102272,0,0,869.42,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
116,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680,101069,907199,0,859.19,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
117,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,12822,77745.1,150274,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
118,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280,95385,1562400,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,None,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
119,CLUMEQ - Université Laval,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Canada,2009,7616,77170,85299,1160376,0,332,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
120,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,10400,76800,95680,0,0,481,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,None,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
121,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2009,10864,76510,101997,0,0,520.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,None,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
122,Service Provider,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",United States,2011,13648,76030,138118,0,0,431.4,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
123,DOE/NNSA/LLNL,IBM,eServer pSeries p5 575 1.9 GHz,United States,2006,12208,75760,92781,1383600,0,1992.96,Power,POWER5,1900,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Research,SP Switch,Federation,North America,Americas
124,Purdue University,Hewlett-Packard,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",United States,2011,11064,75425.8,95961.6,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000,HP Cluster Platform 4000 DL165 G7 Cluster,Linux,None,Cluster,Academic,Not Specified,Gigabit Ethernet,10G Ethernet,North America,Americas
125,University of Minnesota/Supercomputing Institute,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",United States,2011,8568,75425.8,95961.6,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
126,National Institute for Environmental Studies,NSSOL / SGI Japan,"Asterism ID318, Intel Xeon E5530, NVIDIA C2050, Infiniband",Japan,2010,5760,75350,177120,661000,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,SGI Cluster,Asterism Cluster,Linux,NVIDIA 2050,Cluster,Research,Environment,Infiniband,Infiniband,Eastern Asia,Asia
127,Telecommunication Company,Hewlett-Packard,"HP DL160 Cluster G6, Xeon X5650 2.66 GHz, GigE",Japan,2011,13620,74742.3,144917,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
128,Arrow Enterprise Computing Solutions,Hewlett-Packard,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",United States,2011,13542,74336.7,144087,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G7,Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
129,Energy Company (A),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Italy,2011,10224,73639,109029,0,0,335.48,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Energy,Infiniband,Infiniband,Southern Europe,Europe
130,NASA/Goddard Space Flight Center,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2011,8192,73639,91750,0,0,286.72,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM iDataPlex,xSeries iDataPlex,Linux,None,Cluster,Research,Aerospace,Infiniband,Infiniband,North America,Americas
131,Yukawa Institute for Theoretical Physics (YITP),Hitachi,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband",Japan,2011,3456,73350,91238.4,1045440,0,129.6,Power,POWER7,3300,8,Hitachi SR16000,Hitachi SR16000 Model XM1/108,AIX,None,MPP,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
132,National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2009,4992,73060,93849.6,0,0,797,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
133,National Centers for Environment Prediction,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,4992,73060,93849.6,0,0,797.82,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
134,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032,91750,884735,0,358.4,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,None,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
135,Lawrence Livermore National Laboratory,Dell,"Dell DCS Xanadu 2.5, Xeon E55xx 2.4Ghz, Infiniband DDR",United States,2010,8464,72410,81254,1670352,0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,Dell Xanadu,Dell DCS Xanadu 2.5,Linux,None,Cluster,Research,Energy,Infiniband,Infiniband DDR,North America,Americas
136,CeSViMa - Centro de Supercomputación y Visualización de Madrid,IBM,"BladeCenter PS702 Express, Power7 3.3GHz, Infiniband",Spain,2011,3920,72030,103488,0,0,154,Power,POWER7,3300,8,IBM BladeCenter,"BladeCenter PS702 Express, POWER7",Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Southern Europe,Europe
137,RQCHP/Calcul Quebec/Compute Canada Université de Montréal,IBM,"iDataPlex DX360M3, Xeon 2.66, Infiniband",Canada,2011,7560,71557.5,80438.4,0,0,197.79,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
138,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,14208,70187.6,136397,0,0,0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,None,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
139,US Army Research Laboratory (ARL),SGI,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz",United States,2009,6656,70000,74547.2,1501752,0,350.1,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
140,Banking (M),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,12420,69987,145562,0,0,395.37,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
141,Banking (M),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,12420,69987,145562,0,0,395.37,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
142,Banking (M),IBM,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",United States,2011,12420,69987,145562,0,0,395.37,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM xSeries,xSeries x3650M3 Cluster,Linux,None,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
143,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",China,2011,12324,69716.8,124719,0,0,314.34,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,None,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
144,"Carrillo Business Technologies, Inc",Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X5650 2.67Ghz, Infiniband QDR",United States,2011,8328,68829.2,88609.9,0,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,None,Cluster,Industry,Not Specified,Infiniband,Infiniband QDR,North America,Americas
145,NCSA,Dell,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",United States,2007,9600,68480,89587.2,1008384,0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1955,Windows HPC 2008,None,Cluster,Academic,Not Specified,Infiniband,Infiniband SDR,North America,Americas
146,IBM Poughkeepsie Benchmarking Center,IBM,"Power 775, Power7 3.836 GHz",United States,2011,2816,68320,86417.4,0,0,172.38,Power,POWER7,3836,8,IBM pSeries,Power 775,AIX,None,MPP,Vendor,Benchmarking,Custom,Custom,North America,Americas
147,Texas Tech University,Dell,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",United States,2010,7524,68270,84538,1270976,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge R410 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
148,"University of California, Los Angeles",Hewlett-Packard,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR",United States,2011,2482,68100,160577,710393,0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2070,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
149,Communications,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Israel,2011,11964,67680.3,140218,0,0,335.7,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Western Asia,Asia
150,Communications,IBM,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Israel,2011,11964,67680.3,140218,0,0,335.7,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM BladeCenter,"BladeCenter HS22 Cluster, WM Xeon 6-core",Linux,None,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Western Asia,Asia
151,UCSD/San Diego Supercomputer Center,Appro International,"Appro 1U-1143H Cluster, Opteron 8C 2.4Ghz, Infiniband QDR",United States,2010,10112,67320,99532.8,1200000,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Appro Cluster,Appro Opteron Cluster,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
152,Government Classified,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5450 3 GHz, Infiniband",United States,2011,7168,67116.6,86016,0,0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Government,Service,Infiniband,Infiniband,North America,Americas
153,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, GigE",United States,2011,10968,66980,128545,0,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
154,University of Southampton,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2",United Kingdom,2009,8000,66680,72320,1610000,0,222.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Windows HPC 2008,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
