"Green500 Rank","Site","Manufacturer","Computer","Country","MFW","Power","Top500 Rank","How"
137,"  DOE/NNSA/LLNL","IBM","Blue Gene/P Solution","United States",366.57848324515,1134,42,"Submission"
138,"  United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.836GHz, Custom","United Kingdom",364.926881148631,1128.3,43,"Submission"
139,"  ECMWF","IBM","Power 775, POWER7 8C 3.83GHz, Custom","United Kingdom",364.926881148631,1504.4,35,"Submission"
140,"  ECMWF","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom",364.926881148631,1504.4,34,"Submission"
141,"  IBM Development Engineering","IBM","Power 775, POWER7 8C 3.836GHz, Custom","United States",364.923836969946,2429,23,"Submission"
142,"  United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom",364.908008082527,940.3,51,"Submission"
143,"  Forschungszentrum Juelich (FZJ)","IBM","Blue Gene/P Solution","Germany",363.977072310406,2268,25,"Submission"
144,"  DOE/SC/Argonne National Laboratory","IBM","Blue Gene/P Solution","United States",363.976984126984,1260,38,"Submission"
145,"  DOE/SC/LBNL/NERSC","Cray Inc.","Cray XE6, Opteron 6172 12C 2.10GHz, Custom","United States",362.199312714777,2910,16,"Top500"
146,"  University of Edinburgh","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","United Kingdom",361.790863211192,1824.93,32,"Derived"
147,"  RQCHP/Calcul Quebec/Compute Canada Universit de Montral","IBM","iDataPlex DX360M3, Xeon 2.66, Infiniband","Canada",361.766936299292,197.8,376,"Submission"
148,"  Energy Company (A)","HP","HP ProLiant SL390s G7 Xeon 6C X5650, Infiniband","Italy",359.649122807018,364.8,133,"Derived"
149,"  Classified","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband","United States",357.5,184,442,"Submission"
150,"  Vienna Scientific Cluster","Megware/ASUS","Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR","Austria",355.581395348837,430,117,"Top500"
151,"  Lockheed Martin","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband QDR","United States",354.348426707598,260.6,212,"Submission"
152,"  Electronics","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core, Xeon X5650 6C 2.66 GHz, Infiniband","United States",354.286414909269,203.9,374,"Submission"
153,"  Electronics","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","United States",354.262948207171,175.7,483,"Submission"
154,"  Electronics","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","United States",354.262948207171,175.7,484,"Submission"
155,"  Electronics","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband QDR","United States",354.240416469475,211.3,351,"Submission"
156,"  Electronics","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband QDR","United States",354.240416469475,211.3,352,"Submission"
157,"  Ohio Supercomputer Center","HP","Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2070","United States",352.533333333333,225,300,"Top500"
158,"  South Ural State University","RSC SKIF","SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR","Russia",349.777034559643,287.04,185,"Derived"
159,"  E-Security - Selex Elsag","Eurotech","Eurotech Aurora, Xeon X5690 6C 3.470GHz, Infiniband QDR, NVIDIA 2090","Italy",347.885114754098,317.708333333333,161,"Derived"
160,"  Information Initiative Center, Hokkaido University","Hitachi","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Japan",342.92160180485,354.6,146,"Top500"
161,"  Leibniz Rechenzentrum","IBM","BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","Germany",332.615384615385,195,455,"Submission"
162,"  EDF R&amp;D","IBM","iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband","France",330.980392156863,510,104,"Submission"
163,"  IBM Development Engineering","IBM","iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR","United States",330.979462875198,316.5,175,"Submission"
164,"  Vestas Wind Systems A/S","IBM","iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR","Denmark",330.947325438955,489.8,108,"Submission"
165,"  Moscow State University - Research Computing Center","T-Platforms","T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR","Russia",322.107142857143,2800,22,"Top500"
