green500_rank,Rmax,total_power,Mflops/Watt,How?,Year,Computer,Total Cores,Name,Manufacturer,top500_rank,Site,Country,RPeak,Segment,Accelerator/Co-Processor Cores,Nmax,Architecture,Processor,Processor_Family,Proc_Frequency,OS,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
45,715551,424,1687.620283,Derived,2013,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",65536,EPFL Blue Brain IV,IBM,47,Swiss National Supercomputing Centre (CSCS),Switzerland,838861,Research,0,0,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
46,375700,222.7,1687.022901,Top500,2012,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X",28704,MVS-10P,RSC Group,84,Joint Supercomputer Center,Russia,523577.6,Academic,25376,1180160,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,Intel Xeon Phi SE10X,8,Intel Xeon E5 (SandyBridge),RSC Tornado,RSC Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
47,212912,132,1612.969697,Top500,2012,"SGI Rackable C1104G-RP5, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi",17408,Maia,SGI,191,NASA/Ames Research Center/NAS,United States,301384,Research,15360,660480,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,Intel Xeon Phi,8,Intel Xeon E5 (SandyBridge),SGI Rackable C1104G-RP5,Rackable Cluster,Infiniband,Infiniband FDR,North America,Americas
48,597400,458.1249857,1304.010955,Derived,2013,"Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20",31288,Big Red II,Cray Inc.,53,Indiana University,United States,1000624,Academic,8788,748800,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,NVIDIA K20,16,"Opteron 6200 Series ""Interlagos""",Cray XK7,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
49,500277,401,1247.573566,Submission,2013,"Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR",25800,,Bull SA,61,MŽtŽo France,France,557280,Research,0,1969296,Cluster,Intel Xeon E5-2697v2 12C 2.700GHz,Intel IvyBridge,2700,Bullx Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
50,125986,101,1247.386139,Top500,2011,"Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR",6480,Manny,Bull SA,454,Bull,France,139968,Vendor,0,986832,Cluster,Intel Xeon E5-2697v2 12C 2.700GHz,Intel IvyBridge,2700,Bullx Linux,Linux,None,12,Intel Xeon E5 (IvyBridge),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
51,140446,114.5,1226.60262,Top500,2013,"SGI ICE X, Intel Xeon E5-2695v2 12C 2.400GHz, Infiniband FDR",7680,Fionn,SGI,358,Irish Centre for High-End Computing,Ireland,147456,Research,0,1425300,Cluster,Intel Xeon E5-2695v2 12C 2.400GHz,Intel IvyBridge,2400,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe
52,5168110,4510,1145.922395,Top500,2012,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P",462462,Stampede,Dell,7,Texas Advanced Computing Center/Univ. of Texas,United States,8520111.6,Academic,366366,3875000,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,Intel Xeon Phi SE10P,8,Intel Xeon E5 (SandyBridge),PowerEdge C8220,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
53,191500,169,1133.136095,Top500,2013,"NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR",11200,Emmy,NEC,210,Universitaet Erlangen - Regionales Rechenzentrum Erlangen,Germany,197120,Academic,0,1951840,Cluster,Intel Xeon E5-2660v2 10C 2.200GHz,Intel IvyBridge,2200,CentOS,Linux,None,10,Intel Xeon E5 (IvyBridge),NEC LX-2400,NEC Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
54,238200,226.8,1050.26455,Top500,2012,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090",14208,Moonlight,Cray Inc.,167,Los Alamos National Laboratory,United States,492189,Research,9472,919936,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5 (SandyBridge),Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
