"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"147",2014-11-01,167,-3.762,202,147,346070,500,692.14,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"22",2014-11-01,168,-3.764,450,22,1849000,14400,128.4027778,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR, Nvidia K40m"
"204",2014-11-01,169,-3.772,150,204,271754,319,851.8934169,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"192",2014-11-01,170,-3.777,170,192,285800,358.4,797.4330357,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"209",2014-11-01,171,-3.777,151,209,268100,315.9,848.6862931,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"164",2014-11-01,172,-3.779,193,164,318000,446.4,712.3655914,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"206",2014-11-01,173,-3.781,158,206,271015,326.8705882,829.1201771,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2673v2 8C 3.3GHz, 10G Ethernet"
"137",2014-11-01,174,-3.783,214,137,359835.8,579.48,620.9582347,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, 10G Ethernet"
"301",2014-11-01,175,-3.787,96,301,201165,183.73,1094.894682,"SGI ICE X, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR"
"104",2014-11-01,176,-3.79,238,104,476333,1040.18,457.9332423,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"62",2014-11-01,177,-3.792,288,62,816578.6,3072,265.8133464,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband QDR"
"331",2014-11-01,178,-3.792,92,331,191500,169,1133.136095,"NEC LX-2400, Intel Xeon E5-2660v2 10C 2.200GHz, Infiniband QDR"
"179",2014-11-01,179,-3.795,192,179,299300,416.78,718.1246701,"SuperServer 2022TG-GIBQRF, Opteron 6172 12C 2.1GHz, Infiniband QDR, ATI HD 5870"
"123",2014-11-01,180,-3.8,225,123,406351,782.6,519.232047,"IBM NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR"
"202",2014-11-01,181,-3.803,179,202,273973,358.5,764.2203626,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"258",2014-11-01,182,-3.804,132,258,228842.88,251.26,910.7811828,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"296",2014-11-01,183,-3.805,104,296,206304,205,1006.360976,"MEGWARE MiriQuid, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR"
"269",2014-11-01,184,-3.806,120,269,222739.58,239.6,929.6309683,"IBM NeXtScale nx360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR"
"233",2014-11-01,185,-3.807,157,233,249216,300.5788235,829.1202856,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2673v2 8C 3.3GHz, 10G Ethernet"
"261",2014-11-01,186,-3.807,127,261,227026.67,249.26,910.8026559,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"121",2014-11-01,187,-3.814,232,121,410780,834.75,492.099431,"Apollo 6000 XL230a, Xeon E5-2683v3 14C 2GHz, Infiniband FDR"
"103",2014-11-01,188,-3.821,253,103,477000,1153.488,413.5283592,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Xeon Phi 5120D/Nvidia K40"
"95",2014-11-01,189,-3.823,257,95,516897,1363.2,379.1791373,"HP POD - Cluster Platform BL460c, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR"
"207",2014-11-01,190,-3.832,200,207,269267,381.19,706.3852672,"xSeries x3650M4 Cluster, Xeon E5-2680 8C 2.7GHz, Infiniband FDR"
"303",2014-11-01,191,-3.837,117,303,200423.34,214.17,935.8142597,"xSeries x3650M4 Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR"
"314",2014-11-01,192,-3.838,108,314,194154,201.7,962.588002,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2697v2 12C 2.7GHz, Infiniband FDR"
"319",2014-11-01,193,-3.84,109,319,193350,201.83,957.9844424,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR"
"320",2014-11-01,194,-3.84,110,320,193350,201.83,957.9844424,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR"
"321",2014-11-01,195,-3.84,111,321,193350,201.83,957.9844424,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR"
"322",2014-11-01,196,-3.84,112,322,193350,201.83,957.9844424,"IBM NeXtScale nx360M4, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR"
"208",2014-11-01,197,-3.841,203,208,268100,388.8,689.5576132,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"126",2014-11-01,198,-3.846,241,126,396944.44,866.82,457.9317967,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"286",2014-11-01,199,-3.85,153,286,212553,251.2,846.1504777,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"282",2014-11-01,200,-3.851,154,282,213778,255.2,837.6880878,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"310",2014-11-01,201,-3.854,135,310,196234,217.2,903.4714549,"Inspur TS10000, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, K20M/Xeon Phi 5110P"
"375",2014-11-01,202,-3.858,105,375,176347.33,177.84,991.6066689,"BladeCenter HS23 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"228",2014-11-01,203,-3.861,204,228,251500,365.5,688.0984952,"Itautec Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2050"
"349",2014-11-01,204,-3.866,126,349,187373,205.72,910.8156718,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"315",2014-11-01,205,-3.869,144,315,194032,223.06,869.8646104,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"316",2014-11-01,206,-3.869,145,316,194032,223.06,869.8646104,"IBM Flex System x240, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"291",2014-11-01,207,-3.881,177,291,210350.9,272.87,770.8948374,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.6GHz, Infiniband QDR"
"240",2014-11-01,208,-3.891,209,240,240090,367.08,654.0536123,"Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet"
"279",2014-11-01,209,-3.893,190,279,214313,294.53,727.6440431,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"280",2014-11-01,210,-3.893,187,280,214313,294.52,727.6687492,"xSeries x3650M4 Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"290",2014-11-01,211,-3.895,183,290,211700,289,732.5259516,"NUDT YH MPP, Xeon X56xx (Westmere-EP) 2.93 GHz, Proprietary"
"424",2014-11-01,212,-3.898,116,424,163920.12,175.16,935.8307833,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR"
"410",2014-11-01,213,-3.9,122,410,167697.03,184.1,910.9018468,"iDataPlex DX360M4, Xeon E5-2670 8C 2.6GHz, Infiniband FDR"
